[1666694573280] - manhã
[1666703814151] - eu
[1666703818873] - Eu
[1666703823398] - eu
[1666703828044] - eu
[1666703830867] - né
[1666703838095] - eu
[1666703847510] - eu
[1666703854685] - eu
[1666703858916] - eu
[1666703863166] - Eu
[1666703874977] - né
[1666703881282] - Bom dia pra você aqui na era um.
[1666703884907] - Dia
[1666703893027] - eu
[1666703897999] - né
[1666703910137] - Né
[1666703928202] - tchau
[1666703942443] - tchau
[1666703947318] - eu
[1666703955281] - eu
[1666703973202] - eu
[1666703977692] - Eu
[1666704001363] - né
[1666704004627] - eu
[1666704009035] - eu
[1666704012373] - Eu
[1666704020586] - né
[1666704025660] - né
[1666704029934] - né
[1666704034751] - Nós
[1666704048219] - eu
[1666704054442] - né
[1666704059355] - eu
[1666704070877] - né
[1666704074206] - eu
[1666704092886] - Bom dia pra você antena um a número um em música.
[1666704096879] - Eu
[1666704101682] - eu
[1666704121561] - Eu
[1666704132610] - né
[1666704156695] - Dá
[1666704173862] - Né
[1666704178557] - né
[1666704196650] - eu
[1666704221388] - fui
[1666704233533] - eu
[1666704269770] - né
[1666704298615] - né
[1666704306724] - um por um dia Quinze.
[1666704311591] - Eu
[1666704314980] - eu
[1666704320129] - Eu
[1666704325080] - eu
[1666704372666] - jojo
[1666704377543] - eu
[1666704382231] - né
[1666704393668] - Né
[1666704397845] - né
[1666704406932] - eu
[1666704411950] - eu
[1666704415128] - né
[1666704419910] - eu
[1666704423282] - eu
[1666704428083] - eu
[1666704431155] - né
[1666704434555] - eu
[1666704439221] - eu
[1666704447350] - Eu
[1666704450120] - eu
[1666704453563] - né
[1666704462674] - eu
[1666704467775] - dia
[1666704472486] - eu
[1666704476658] - né
[1666704479946] - eu
[1666704484416] - tchau
[1666704487359] - eu
[1666704490783] - né
[1666704500213] - eu
[1666704503975] - eu
[1666704507239] - eu
[1666704510231] - eu
[1666704513405] - vai
[1666704516450] - fica
[1666704529568] - um e Ilana deu rei.
[1666704537710] - tchau
[1666704561890] - tchau
[1666704573609] - eu
[1666704581526] - eu
[1666704590530] - eu
[1666704595303] - tchau
[1666704598979] - fui
[1666704606482] - gang
[1666704638518] - eu
[1666704641786] - né
[1666704645756] - eu
[1666704658278] - tchau
[1666704663120] - eu
[1666704667169] - eu
[1666704671738] - eu
[1666704688839] - eu
[1666704696890] - eu
[1666704699922] - Eu
[1666704703310] - eu
[1666704707570] - nesse
[1666704712841] - né
[1666704717632] - eu
[1666704729052] - eu
[1666704733387] - fui
[1666704736808] - um dez e trinta e dois.
[1666704741904] - O é o melhor amigo de carne
[1666704745599] - você está
[1666704755996] - biologia bocado
[1666704761101] - nunca
[1666704768513] - É Confiança
[1666704776964] - Eu
[1666704781003] - eu
[1666704784985] - eu
[1666704789783] - eu
[1666704813832] - né
[1666704833524] - dois
[1666704845158] - fui
[1666704850199] - Não
[1666704858699] - né
[1666704866756] - beleza
[1666704869721] - gente
[1666704874040] - eu
[1666704879061] - fui
[1666704885306] - né
[1666704892983] - Eu
[1666704897762] - eu
[1666704901965] - eu
[1666704905507] - eu
[1666704908970] - eu
[1666704912658] - eu
[1666704916092] - eu
[1666704920730] - eu
[1666704924290] - eu
[1666704927050] - eu
[1666704930570] - eu
[1666704935085] - eu
[1666704939508] - eu
[1666704943461] - eu
[1666704947971] - eu
[1666704952374] - né
[1666704955934] - eu
[1666704959370] - eu
[1666704964244] - eu
[1666704968839] - eu
[1666704971834] - eu
[1666704976059] - olha
[1666704983735] - eu
[1666704988363] - eu
[1666704992945] - eu
[1666704997903] - eu
[1666705011644] - eu
[1666705019416] - Logo mais clássicos da um
[1666705023531] - as músicas que marcaram o cenário internacional
[1666705036344] - fui
[1666742490627] - e o que
[1666742493065] - tchau
[1666742504352] - foda
[1666742513263] - eu
[1666742517096] - Eu
